Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
APIKey,,APIキー,API Key,API密钥,API 키,Clave de API,مفتاح API,Kunci API,
Model,,モデル,Model,模型,模型,모델,Modelo,نموذج,Model,
IsSendImageEnabledTitle,,再生位置の画像を元にセリフを生成,Generate lines based on the image of the playback position,根据播放位置的图像生成台词,재생 위치의 이미지를 기반으로 대사 생성,Generar líneas basadas en la imagen de la posición de reproducción,توليد الخطوط بناءً على صورة موضع التشغيل,Generate lines based on the image of the playback position,
IsSendImageEnabledHint,,マルチモーダルモデルを指定する必要があります,You need to specify a multimodal model,您需要指定一个多模型,다중 모델을 지정해야 합니다,Debe especificar un modelo multimodal,يجب عليك تحديد نموذج متعدد الوسائط,يجب عليك تحديد نموذج متعدد الوسائط,Yang perlu Anda lakukan adalah menentukan model multimodal,
Details,,詳細,Details,细节,세부 정보,Detalles,تفاصيل,Detail,
Safety,,セーフティ,Safety,安全,안전,Seguridad,سلامة,Keamanan,
Harassment,,ハラスメント,Harassment,骚扰,騷擾,폭행,Hostigamiento,تحرش,Pelecehan,
HateSpeech,,ヘイトスピーチ,Hate Speech,仇恨言论,혐오 발언,Discurso de odio,خطاب الكراهية,Ujaran kebencian,
SexuallyExplicit,,性的表現,Sexually Explicit,性暴力,성적 표현,Contenido sexual
DangerousContent,,危険なコンテンツ,Dangerous Content,危险内容,위험한 콘텐츠,Contenido peligroso,محتوى خطير,Konten berbahaya,
CivicIntegrity,,市民活動の阻害,Civic Integrity,公民诚信,시민의 진실성,Integridad cívica,نزاهة المواطن,Integritas warga negara,
BlockNone,,ブロックなし,Block None,无阻止,차단 없음,Bloquear Ninguno,منع لا,Block Tidak Ada,
BlockFew,,少量をブロック,Block Few,少量阻止,일부 차단,Bloquear Algunos,منع بعض,Block Beberapa,
BlockSome,,一部をブロック,Block Some,部分阻止,일부 차단,Bloquear Algunos,منع بعض,Block Beberapa,
BlockMost,,ほとんどをブロック,Block Most,大部分阻止,대부분 차단,Bloquear la mayoría,منع معظم,Block Sebagian Besar,
UsePreviewModel,,プレビュー版のモデルを使用,Use the preview version of the model,使用预览版模型,미리보기 버전 모델 사용,Usar la versión de vista previa del modelo,استخدام الإصدار المعاينة من النموذج,Gunakan versi pratinjau model,
SkipReasoningProcess,,推論プロセスをスキップ,Skip Reasoning Process,跳过推理过程,추론 프로세스 건너뛰기,Omita el proceso de razonamiento,تخطي عملية الاستدلال,Lewati Proses Penalaran,
