Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
AnisotropicKuwaharaEffectName,,絵画調,Painterly,绘画风,繪畫風,회화풍,Pictórico,طابع تصويري,Gaya Lukisan
AnisotropicKuwaharaRadiusName,,筆の半径,Radius,笔刷半径,筆刷半徑,붓 반경,Radio del pincel,نصف قطر الفرشاة,Radius Kuas
AnisotropicKuwaharaRadiusDesc,,筆の大きさ（サンプリング半径）を調整します。大きいほど大胆な絵画調になり処理も重くなります。,Adjusts the brush size (sampling radius). Larger values produce a bolder painterly look and increase processing cost.,调整笔刷大小（采样半径）。数值越大 绘画感越强烈 处理负担也越大。,調整筆刷大小（取樣半徑）。數值越大 繪畫感越強烈 處理負擔也越大。,붓의 크기(샘플링 반경)를 조정합니다. 클수록 대담한 회화풍이 되며 처리 부하도 커집니다.,Ajusta el tamaño del pincel (radio de muestreo). Valores mayores producen un estilo pictórico más audaz y aumentan el costo de procesamiento.,يضبط حجم الفرشاة (نصف قطر أخذ العينات). كلما زادت القيمة أصبح الطابع التصويري أجرأ وزاد عبء المعالجة.,Menyesuaikan ukuran kuas (radius sampling). Nilai lebih besar menghasilkan gaya lukisan lebih berani dan meningkatkan beban pemrosesan.
AnisotropicKuwaharaSharpnessName,,鮮鋭度,Sharpness,锐度,銳度,선명도,Nitidez,الحدة,Ketajaman
AnisotropicKuwaharaSharpnessDesc,,大きいほど分散の小さい方向が強く選ばれ 輪郭がくっきりした筆致になります。,Larger values more strongly favor directions with smaller variance producing crisper brush strokes.,数值越大 越倾向选择方差较小的方向 笔触轮廓也更清晰。,數值越大 越傾向選擇變異數較小的方向 筆觸輪廓也更清晰。,클수록 분산이 작은 방향이 강하게 선택되어 윤곽이 뚜렷한 붓터치가 됩니다.,Cuanto mayor sea el valor más se favorecen las direcciones con menor varianza dando pinceladas más nítidas.,كلما زادت القيمة زاد اختيار الاتجاهات ذات التباين الأصغر مما ينتج ضربات فرشاة أوضح حدة.,Nilai lebih besar lebih memilih arah dengan varians lebih kecil menghasilkan sapuan kuas yang lebih tajam.
AnisotropicKuwaharaAnisotropyName,,異方性,Anisotropy,各向异性,各向異性,이방성,Anisotropía,اللاتناحي,Anisotropi
AnisotropicKuwaharaAnisotropyDesc,,エッジに沿って筆を伸ばす強さを調整します。0%で等方的な円形 100%で流れに沿った筆致になります。,Adjusts how strongly the brush stretches along edges. 0% gives an isotropic circular shape and 100% gives strokes that follow the flow.,调整笔刷沿边缘拉伸的强度。0%时为各向同性的圆形 100%时为沿纹理走向的笔触。,調整筆刷沿邊緣拉伸的強度。0%時為各向同性的圓形 100%時為沿紋理走向的筆觸。,붓이 가장자리를 따라 늘어나는 강도를 조정합니다. 0%면 등방성 원형이 되고 100%면 흐름을 따르는 붓터치가 됩니다.,Ajusta la intensidad con la que el pincel se alarga a lo largo de los bordes. 0% da una forma circular isotrópica y 100% da trazos que siguen el flujo.,يضبط شدة امتداد الفرشاة على طول الحواف. عند 0% يكون الشكل دائريًا متناحيًا وعند 100% تتبع الضربات اتجاه التدفق.,Menyesuaikan kekuatan kuas meregang di sepanjang tepi. 0% menghasilkan bentuk lingkaran isotropik dan 100% menghasilkan sapuan yang mengikuti alur.
AnisotropicKuwaharaQualityName,,品質,Quality,质量,品質,품질,Calidad,الجودة,Kualitas
AnisotropicKuwaharaQualityDesc,,サンプリング密度を選びます。高いほど滑らかで綺麗ですが処理が重くなります。,Selects the sampling density. Higher is smoother and cleaner but heavier to process.,选择采样密度。数值越高越平滑干净 但处理越重。,選擇取樣密度。數值越高越平滑乾淨 但處理越重。,샘플링 밀도를 선택합니다. 높을수록 매끄럽고 깨끗하지만 처리가 무거워집니다.,Selecciona la densidad de muestreo. Mayor es más suave y limpio pero más pesado de procesar.,يحدد كثافة أخذ العينات. الأعلى أنعم وأنظف لكنه أثقل في المعالجة.,Memilih kepadatan sampling. Lebih tinggi lebih halus dan bersih tetapi lebih berat diproses.
AnisotropicKuwaharaQualityLow,,低,Low,低,低,낮음,Bajo,منخفض,Rendah
