Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
EdgeGlowEffectName,,エッジ発光,Edge Glow,边缘发光,邊緣發光,엣지 글로우,Brillo de bordes,توهج الحواف,Cahaya Tepi
EdgeGlowGroupDetection,,エッジ検出,Edge Detection,边缘检测,邊緣偵測,엣지 검출,Detección de bordes,كشف الحواف,Deteksi Tepi
EdgeGlowGroupAppearance,,発光の見た目,Glow Appearance,发光外观,發光外觀,글로우 외관,Apariencia del brillo,مظهر التوهج,Tampilan Cahaya
EdgeGlowGroupSpread,,光の広がり,Glow Spread,光的扩散,光的擴散,빛 확산,Difusión de luz,انتشار التوهج,Penyebaran Cahaya
EdgeGlowGroupOutput,,出力,Output,输出,輸出,출력,Salida,الإخراج,Output
EdgeGlowThresholdName,,しきい値,Threshold,阈值,閾值,임계값,Umbral,العتبة,Ambang batas
EdgeGlowThresholdDesc,,エッジとして認識する勾配の下限値を調整します。,Adjusts the lower bound of the gradient recognized as an edge.,调整识别为边缘的梯度下限值。,調整識別為邊緣的梯度下限值。,엣지로 인식하는 그라디언트의 하한값을 조정합니다.,Ajusta el límite inferior del gradiente reconocido como borde.,يضبط الحد الأدنى للتدرج المعروف كحافة.,Menyesuaikan batas bawah gradien yang dikenali sebagai tepi.
EdgeGlowSoftnessName,,境界の柔らかさ,Edge Softness,边界柔和度,邊界柔和度,경계 부드러움,Suavidad del borde,نعومة الحدود,Kelembutan Tepi
EdgeGlowSoftnessDesc,,エッジ判定の遷移幅を調整します。値が大きいほどグラデーション状の発光になります。,Adjusts the transition width of edge detection. Higher values produce a more gradient-like glow.,调整边缘判定的过渡宽度。值越大发光越呈渐变状。,調整邊緣判定的過渡寬度。值越大發光越呈漸層狀。,엣지 판정의 전이 폭을 조정합니다. 값이 클수록 그라디언트 형태의 발광이 됩니다.,Ajusta el ancho de transición de la detección de bordes. Valores más altos producen un brillo más gradual.,يضبط عرض الانتقال لكشف الحواف. القيم الأعلى تنتج توهجًا أكثر تدرجًا.,Menyesuaikan lebar transisi deteksi tepi. Nilai yang lebih tinggi menghasilkan cahaya yang lebih bergradasi.
EdgeGlowThicknessName,,検出範囲,Sampling Distance,采样距离,取樣距離,샘플링 거리,Distancia de muestreo,مسافة أخذ العينات,Jarak Pengambilan Sampel
