Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
NtscCompositeEffectName,,NTSCコンポジット,NTSC composite,NTSC合成视频,NTSC複合視訊,NTSC 컴포지트,Compuesto NTSC,مركب NTSC,Komposit NTSC
NtscCompositeEffectScanlineCountName,,走査線数,Scanlines,扫描线数,掃描線數,스캔라인 수,Líneas de exploración,عدد خطوط المسح,Jumlah garis pindai
NtscCompositeEffectScanlineCountDesc,,有効走査線の本数です。240はノンインターレースの往年のゲーム機系の見た目になります。,Number of active scanlines. 240 gives the look of classic game consoles (non-interlaced).,有效扫描线的数量。240会呈现非隔行早期游戏机的效果。,有效掃描線的數量。240會呈現非交錯早期遊戲機的效果。,유효 스캔라인 수입니다. 240은 비인터레이스 방식의 옛날 게임기 느낌을 줍니다.,Número de líneas de exploración activas. 240 da el aspecto de las consolas clásicas (sin entrelazado).,عدد خطوط المسح الفعالة. تعطي القيمة 240 مظهر أجهزة الألعاب الكلاسيكية (غير المتشابكة).,Jumlah garis pindai aktif. 240 memberikan tampilan konsol game klasik (non-interlace).
NtscScanlineCountLines480Name,,480本(標準),480 (standard),480条(标准),480條(標準),480개(표준),480 (estándar),480 (قياسي),480 (standar)
NtscScanlineCountLines240Name,,240本(ゲーム機),240 (game console),240条(游戏机),240條(遊戲機),240개(게임기),240 (consola de juegos),240 (جهاز ألعاب),240 (konsol game)
NtscCompositeEffectYCSeparationName,,Y/C分離方式,Y/C separation,Y/C分离方式,Y/C分離方式,Y/C 분리 방식,Separación Y/C,فصل Y/C,Pemisahan Y/C
NtscCompositeEffectYCSeparationDesc,,コンポジット信号から輝度と色を分離する方式です。コムはクロスカラーが減る代わりに縦方向の色混じりが出ます。,How luma and chroma are separated from the composite signal. Comb reduces cross-color but introduces vertical color mixing.,从复合信号中分离亮度和色度的方式。梳状滤波可减少串色，但会产生纵向色彩混合。,從複合訊號中分離亮度和色度的方式。梳狀濾波可減少串色，但會產生縱向色彩混合。,컴포지트 신호에서 휘도와 색상을 분리하는 방식입니다. 콤 방식은 크로스컬러가 줄어드는 대신 수직 방향으로 색이 섞입니다.,Método para separar la luminancia y el color de la señal compuesta. El peine reduce el cross-color pero introduce mezcla de color vertical.,طريقة فصل الإضاءة واللون عن الإشارة المركبة. يقلل المشط من التلوين المتقاطع لكنه يسبب اختلاط الألوان عموديًا.,Cara memisahkan luma dan chroma dari sinyal komposit. Comb mengurangi cross-color tetapi menimbulkan pencampuran warna vertikal.
NtscYCSeparationNotchName,,ノッチ,Notch,陷波,陷波,노치,Muesca,حاجز (Notch),Notch
NtscYCSeparationCombName,,コム(2ライン),Comb (2-line),梳状(2线),梳狀(2線),콤(2라인),Peine (2 líneas),مشط (خطان),Comb (2-line)
NtscCompositeEffectColorBleedName,,にじみ強度,Color bleed,色彩渗色强度,色彩滲色強度,컬러 번짐 강도,Sangrado de color,امتزاج الألوان,Kebocoran warna
NtscCompositeEffectColorBleedDesc,,色のにじみの強さです。色信号(I/Q)の帯域を狭めて左右へのにじみを増やします。,Strength of color bleeding. Narrows the chroma (I/Q) bandwidth to increase horizontal smearing.,色彩渗色的强度。缩窄色度信号(I/Q)的带宽以增加左右方向的渗色。,色彩滲色的強度。縮窄色度訊號(I/Q)的頻寬以增加左右方向的滲色。,색 번짐의 강도입니다. 색차 신호(I/Q)의 대역폭을 좁혀 좌우 번짐을 늘립니다.,Intensidad del sangrado de color. Reduce el ancho de banda de crominancia (I/Q) para aumentar el manchado horizontal.,شدة امتزاج اللون. يضيق نطاق إشارة اللون (I/Q) لزيادة الامتزاج الأفقي.,Kekuatan kebocoran warna. Mempersempit bandwidth chroma (I/Q) untuk menambah noda horizontal.
NtscCompositeEffectSharpnessName,,シャープネス,Sharpness,清晰度,清晰度,샤프니스,Nitidez,الحدة,Ketajaman
