Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
ShapePasteEffectDefaultName,,図形の貼り付け,Paste shape,粘贴图形,貼上圖形,도형 붙여넣기,Pegar figura,لصق الشكل,Tempel bentuk,
ShapePasteEffectGroupName_Draw,,描画,Drawing,绘制,繪製,그리기,Dibujo,الرسم,Menggambar,
ShapePasteEffectGroupName_Display,,表示,Display,显示,顯示,표시,Visualización,العرض,Tampilan,
ShapePasteEffectGroupName_SizeTracking,,サイズ追従,Size tracking,尺寸追踪,尺寸追蹤,크기 추적,Seguimiento de tamaño,تتبع الحجم,Pelacakan ukuran,
ShapePasteEffectGroupName_Margin,,余白,Margin,边距,邊距,여백,Margen,الهامش,Margin,
ShapePasteEffectGroupName_Shape,,図形,Shape,图形,圖形,도형,Figura,الشكل,Bentuk,
ShapePasteEffectDisplayName_X,,X,X,X,X,X,X,X,X,
ShapePasteEffectDisplayName_Y,,Y,Y,Y,Y,Y,Y,Y,Y,
ShapePasteEffectDisplayName_Z,,Z,Z,Z,Z,Z,Z,Z,Z,
ShapePasteEffectDisplayName_Opacity,,不透明度,Opacity,不透明度,不透明度,불투명도,Opacidad,التعتيم,Opasitas,
ShapePasteEffectDisplayName_Zoom,,拡大率,Zoom,缩放率,縮放率,확대율,Zoom,التكبير,Zoom,
ShapePasteEffectDisplayName_Rotation,,回転,Rotation,旋转,旋轉,회전,Rotación,الدوران,Rotasi,
ShapePasteEffectDisplayName_InvertX,,左右反転,Flip horizontal,左右翻转,左右翻轉,좌우 반전,Voltear horizontal,قلب أفقي,Balik horizontal,
ShapePasteEffectDisplayName_InvertY,,上下反転,Flip vertical,上下翻转,上下翻轉,상하 반전,Voltear vertical,قلب رأسي,Balik vertikal,
ShapePasteEffectDisplayName_DisplayMode,,表示方法,Display method,显示方法,顯示方法,표시 방법,Método de visualización,طريقة العرض,Cara menampilkan,
ShapePasteEffectDisplayName_IsBack,,背面に描画,Draw behind,绘制在背面,繪製於背面,배면에 그리기,Dibujar detrás,رسم خلف,Gambar di belakang,
ShapePasteEffectDisplayName_PinLeft,,左端に固定,Pin left,固定到左端,固定到左端,왼쪽 끝 고정,Fijar izquierda,تثبيت يسار,Kunci kiri,
ShapePasteEffectDisplayName_PinRight,,右端に固定,Pin right,固定到右端,固定到右端,오른쪽 끝 고정,Fijar derecha,تثبيت يمين,Kunci kanan,
ShapePasteEffectDisplayName_PinTop,,上端に固定,Pin top,固定到上端,固定到上端,위쪽 끝 고정,Fijar arriba,تثبيت أعلى,Kunci atas,
ShapePasteEffectDisplayName_PinBottom,,下端に固定,Pin bottom,固定到下端,固定到下端,아래쪽 끝 고정,Fijar abajo,تثبيت أسفل,Kunci bawah,
ShapePasteEffectDisplayName_Left,,左,Left,左,左,왼쪽,Izquierda,يسار,Kiri,
ShapePasteEffectDisplayName_Right,,右,Right,右,右,오른쪽,Derecha,يمين,Kanan,
ShapePasteEffectDisplayName_Top,,上,Top,上,上,위,Arriba,أعلى,Atas,
ShapePasteEffectDisplayName_Bottom,,下,Bottom,下,下,아래,Abajo,أسفل,Bawah,
ShapePasteEffectDisplayName_ShapeType,,種類,Type,类型,類型,종류,Tipo,النوع,Jenis,
