Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
SpeakingRate,,話速,Speaking Rate,语速,語速,말하기 속도,Velocidad de habla,معدل الكلام,Kecepatan bicara,
SpeakingRateDescription,,テキストの読み上げ速度 (0.5〜6.0),Text reading speed (0.5–6.0),文字朗读速度 (0.5〜6.0),文字朗讀速度 (0.5〜6.0),텍스트 읽기 속도 (0.5〜6.0),Velocidad de lectura del texto (0.5–6.0),سرعة قراءة النص (0.5–6.0),Kecepatan membaca teks (0.5–6.0),
Volume,,音量,Volume,音量,音量,볼륨,Volumen,مستوى الصوت,Volume,
VolumeDescription,,音声の音量 (0.0〜1.0),Voice volume (0.0–1.0),语音音量 (0.0〜1.0),語音音量 (0.0〜1.0),음성 볼륨 (0.0〜1.0),Volumen de voz (0.0–1.0),مستوى صوت الكلام (0.0–1.0),Volume suara (0.0–1.0),
Pitch,,ピッチ,Pitch,音调,音調,피치,Tono,نبرة الصوت,Nada suara,
PitchDescription,,音声の高さ (0.0〜2.0),Voice pitch (0.0–2.0),语音音调 (0.0〜2.0),語音音調 (0.0〜2.0),음성 음조 (0.0〜2.0),Tono de voz (0.0–2.0),ارتفاع الصوت (0.0–2.0),Nada suara (0.0–2.0),
AppendedSilence,,発話末尾の無音,Appended Silence,发话末尾静音,發話末尾靜音,발화 말미 무음,Silencio al final,صمت نهاية الكلام,Keheningan akhir ucapan,
AppendedSilenceDescription,,発話の末尾に追加される無音の長さ,Amount of silence appended at the end of each utterance,每段发话末尾附加的静音时长,每段發話末尾附加的靜音時長,각 발화 말미에 추가되는 무음 길이,Cantidad de silencio añadido al final de cada enunciado,مقدار الصمت المضاف في نهاية كل جملة,Durasi keheningan yang ditambahkan di akhir setiap ucapan,
PunctuationSilence,,句読点後の無音,Punctuation Silence,标点符号后的静音,標點符號後的靜音,구두점 후 무음,Silencio tras puntuación,صمت بعد علامات الترقيم,Keheningan setelah tanda baca,
PunctuationSilenceDescription,,句読点の後に追加される無音の長さ,Amount of silence added after punctuation marks,标点符号后附加的静音时长,標點符號後附加的靜音時長,구두점 뒤에 추가되는 무음 길이,Cantidad de silencio añadido después de los signos de puntuación,مقدار الصمت المضاف بعد علامات الترقيم,Durasi keheningan yang ditambahkan setelah tanda baca,
