Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
HeatHazeEffectName,,熱揺らぎ,Heat Haze,热浪,熱浪,아지랑이,Bruma de calor,تلألؤ حراري,Kilau Panas
HeatHazeControlModeName,,モード切替,Mode Switch,模式切换,模式切換,모드 전환,Cambio de modo,تبديل الوضع,Ganti Mode
HeatHazeControlModeDesc,,操作モードを「自動」と「手動」で切り替えます。,Switches between Automatic and Manual control modes.,在「自动」和「手动」模式之间切换。,在「自動」和「手動」模式之間切換。,자동 모드와 수동 모드를 전환합니다.,Cambia entre los modos de control Automático y Manual.,يبدّل بين وضعَي التحكم التلقائي واليدوي.,Beralih antara mode kontrol Otomatis dan Manual.
HeatHazeControlModeAutomatic,,自動,Automatic,自动,自動,자동,Automático,تلقائي,Otomatis
HeatHazeControlModeAutomaticDesc,,温度と湿度から揺らぎを自動計算します。,Automatically calculates shimmer from temperature and humidity.,从温度和湿度自动计算热浪效果。,從溫度和濕度自動計算熱浪效果。,온도와 습도로부터 흔들림을 자동 계산합니다.,Calcula automáticamente el calor a partir de la temperatura y la humedad.,يحسب التلألؤ تلقائيًا من درجة الحرارة والرطوبة.,Menghitung kilau secara otomatis dari suhu dan kelembapan.
HeatHazeControlModeManual,,手動,Manual,手动,手動,수동,Manual,يدوي,Manual
HeatHazeControlModeManualDesc,,各パラメータを手動で設定します。,Manually configures each distortion parameter.,手动设置每个失真参数。,手動設置每個失真參數。,각 파라미터를 수동으로 설정합니다.,Configura manualmente cada parámetro de distorsión.,يضبط كل معامل تشويه يدويًا.,Mengatur setiap parameter distorsi secara manual.
HeatHazeAutoSettingsGroup,,自動設定,Automatic Settings,自动设定,自動設定,자동 설정,Configuración automática,الإعدادات التلقائية,Pengaturan Otomatis
HeatHazeTemperatureName,,温度,Temperature,温度,溫度,온도,Temperatura,درجة الحرارة,Suhu
HeatHazeTemperatureDesc,,現実の温度を模倣して揺らぎの強さや速さを自動調整します（15℃以下で無効 50℃で最大）。,Simulates real-world temperature to auto-adjust shimmer strength and speed (inactive below 15°C max at 50°C).,模拟真实温度自动调整热浪强度和速度（15℃以下无效 50℃时最强）。,模擬真實溫度自動調整熱浪強度和速度（15°C以下無效 50°C時最強）。,실제 온도를 시뮬레이션하여 흔들림 강도와 속도를 자동 조정합니다 (15°C 이하 비활성 50°C에서 최대).,Simula la temperatura real para ajustar automáticamente la intensidad y velocidad del calor (inactivo por debajo de 15°C máximo a 50°C).,يحاكي درجة الحرارة الحقيقية لضبط قوة التلألؤ وسرعته تلقائيًا (غير نشط أقل من 15 درجة وأقصاه عند 50 درجة).,Mensimulasikan suhu nyata untuk menyesuaikan kekuatan dan kecepatan kilau secara otomatis (tidak aktif di bawah 15°C maksimum pada 50°C).
HeatHazeHumidityName,,湿度,Humidity,湿度,濕度,습도,Humedad,الرطوبة,Kelembaban
HeatHazeHumidityDesc,,湿度が高いほど屈折指数の変動が増幅され揺らぎが強くなります。,Higher humidity amplifies the refractive index variation and strengthens the shimmer.,湿度越高 折射率的变化越大 热浪效果越强。,濕度越高 折射率變化越大 熱浪效果越強。,습도가 높을수록 굴절률 변동이 증폭되어 흔들림이 강해집니다.,Una mayor humedad amplifica la variación del índice de refracción fortaleciendo el calor.,الرطوبة الأعلى تضخّم تغير معامل الانكسار مما يزيد التلألؤ.,Kelembapan yang lebih tinggi memperkuat variasi indeks bias sehingga meningkatkan kilau.
HeatHazeManualSettingsGroup,,手動設定,Manual Settings,手动设定,手動設定,수동 설정,Configuración manual,الإعدادات اليدوية,Pengaturan Manual
HeatHazeStrengthName,,揺らぎの強さ,Strength,强度,強度,강도,Fuerza,القوة,Kekuatan
HeatHazeStrengthDesc,,映像の歪みの大きさを調整します。,Adjusts the amount of image distortion.,调整图像失真的程度。,調整圖像失真的程度。,이미지 왜곡의 크기를 조정합니다.,Ajusta la cantidad de distorsión de la imagen.,يضبط مقدار تشويه الصورة.,Menyesuaikan jumlah distorsi gambar.
HeatHazeScaleName,,揺らぎの細かさ,Scale,尺度,尺度,스케일,Escala,الحجم,Skala
