Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
Shippo,,七宝文様,Seven Treasures Pattern,七宝纹样,七寶紋樣,칠보 문양,Patrón de Siete Tesoros,نمط الكنوز السبعة,Pola Tujuh Harta,
Color,,色,Color,颜色,色,색,Color,لون,Warna,
BackgroundColor,,背景色,Background Color,背景色,背景色,배경색,Fondo de color,لون الخلفية,Warna Latar Belakang,
Size,,サイズ,Size,尺寸,大小,크기,Tamaño,الحجم,Ukuran,
LineWidth,,線幅,Line Width,线宽,線寬,선 너비,Ancho de línea,عرض الخط,Lebar Garis,
Zoom,,拡大率,Zoom,缩放率,縮放,확대,Zoom,تكبير,Zoom,
PatternType,,模様の種類,Pattern Type,纹样种类,紋樣種類,문양 종류,Tipo de patrón,نوع النمط,Jenis Pola,
ShippoPattern_Basic_Name,,七宝つなぎ,Basic Shippo,七宝连纹,七寶連紋,기본 칠보,Shippo Básico,شيبو الأساسي,Shippo Dasar,
ShippoPattern_Basic_Description,,円の輪郭のみで構成される基本的な七宝つなぎです,Basic shippo pattern composed of circle outlines only,仅由圆形轮廓构成的基本七宝连纹,僅由圓形輪廓構成的基本七寶連紋,원의 윤곽만으로 구성된 기본 칠보 문양입니다,Patrón shippo básico compuesto solo por contornos de círculos,نمط شيبو الأساسي يتكون فقط من خطوط دائرية,Pola shippo dasar yang hanya terdiri dari garis luar lingkaran,
ShippoPattern_DoubleCircle_Name,,二重七宝,Double Circle Shippo,双重七宝,雙重七寶,이중 칠보,Shippo Doble,شيبو المزدوج,Shippo Ganda,
ShippoPattern_DoubleCircle_Description,,外側の円の内側にもう一つ同心円を描いた七宝です,Shippo with a concentric inner circle inside each outer circle,在外圆内侧再绘制一个同心圆的七宝,在外圓內側再繪製一個同心圓的七寶,바깥쪽 원의 안쪽에 동심원을 그린 칠보입니다,Shippo con un círculo concéntrico interior dentro de cada círculo exterior,شيبو مع دائرة متحدة المركز داخل كل دائرة خارجية,Shippo dengan lingkaran konsentris di dalam setiap lingkaran luar,
ShippoPattern_CenterDot_Name,,中心点七宝,Center Dot Shippo,中心点七宝,中心點七寶,중심점 칠보,Shippo con Punto Central,شيبو مع نقطة مركزية,Shippo Titik Tengah,
ShippoPattern_CenterDot_Description,,各円の中心に塗りつぶされた小円を配した七宝です,Shippo with a filled small circle at the center of each circle,在每个圆的中心配置实心小圆的七宝,在每個圓的中心配置實心小圓的七寶,각 원의 중심에 칠해진 작은 원을 배치한 칠보입니다,Shippo con un pequeño círculo relleno en el centro de cada círculo,شيبو مع دائرة صغيرة ممتلئة في مركز كل دائرة,Shippo dengan lingkaran kecil terisi di tengah setiap lingkaran,
ShippoPattern_CornerDot_Name,,接点ドット七宝,Junction Dot Shippo,接点点缀七宝,接點點綴七寶,접점 점 칠보,Shippo con Puntos de Unión,شيبو مع نقاط التقاطع,Shippo Titik Sambungan,
ShippoPattern_CornerDot_Description,,円同士の接点に小円を配した七宝です,Shippo with small circles at the junctions of adjacent circles,在圆与圆的接点处配置小圆的七宝,在圓與圓的接點處配置小圓的七寶,원과 원의 접점에 작은 원을 배치한 칠보입니다,Shippo con pequeños círculos en las uniones de círculos adyacentes,شيبو مع دوائر صغيرة عند نقاط تقاطع الدوائر المتجاورة,Shippo dengan lingkaran kecil di sambungan lingkaran yang berdekatan,
ShippoPattern_Hanabishi_Name,,七宝花菱,Shippo Hanabishi,七宝花菱,七寶花菱,칠보 화릉,Shippo Hanabishi,شيبو هانابيشي,Shippo Hanabishi,
ShippoPattern_Hanabishi_Description,,円の中心に四弁の花菱文様を配した七宝です,Shippo with a four-petaled hanabishi flower at the center of each circle,圆心配置四瓣花菱纹样的七宝,圓心配置四瓣花菱紋樣的七寶,원의 중심에 네 잎의 화릉 문양을 배치한 칠보입니다,Shippo con una flor hanabishi de cuatro pétalos en el centro de cada círculo,شيبو مع زهرة هانابيشي ذات أربع بتلات في مركز كل دائرة,Shippo dengan bunga hanabishi empat kelopak di tengah setiap lingkaran,
