Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
NumStepsName,,ステップ数,Num Steps,步数,步數,스텝 수,Pasos,عدد الخطوات,Jumlah Langkah,
NumStepsDesc,,拡散ステップ数。大きいほど高品質ですが生成に時間がかかります。,"Number of diffusion steps. Higher values produce better quality but take longer to generate.","扩散步数。数值越大质量越高，但生成时间越长。","擴散步數。數值越大品質越高，但生成時間越長。","확산 스텝 수. 높을수록 품질이 좋아지지만 생성 시간이 길어집니다.","Pasos de difusión. Valores más altos producen mejor calidad pero toman más tiempo.","عدد خطوات الانتشار. القيم الأعلى تنتج جودة أفضل لكن تستغرق وقتًا أطول.","Jumlah langkah difusi. Nilai lebih tinggi menghasilkan kualitas lebih baik tetapi membutuhkan waktu lebih lama.",
CfgScaleTextName,,テキスト強度,Text Strength,文本强度,文本強度,텍스트 강도,Intensidad de texto,قوة النص,Kekuatan Teks,
CfgScaleTextDesc,,テキストに対するCFGガイダンス強度。大きいほどテキストに忠実ですが高すぎると不自然になります。,"CFG guidance strength for text. Higher values follow text more closely but may sound unnatural if too high.","文本的CFG引导强度。数值越大越忠实于文本，但过高会不自然。","文本的CFG引導強度。數值越大越忠實於文本，但過高會不自然。","텍스트에 대한 CFG 가이던스 강도. 높을수록 텍스트에 충실하지만 너무 높으면 부자연스러워집니다.","Intensidad de guía CFG para texto. Valores altos siguen el texto más fielmente pero pueden sonar artificiales.","قوة توجيه CFG للنص. القيم الأعلى تتبع النص بدقة أكبر لكنها قد تبدو غير طبيعية إذا كانت عالية جداً.","Kekuatan panduan CFG untuk teks. Nilai tinggi mengikuti teks lebih dekat tetapi mungkin terdengar tidak alami jika terlalu tinggi.",
CfgScaleSpeakerName,,話者強度,Speaker Strength,说话人强度,說話者強度,화자 강도,Intensidad de voz,قوة المتحدث,Kekuatan Pembicara,
CfgScaleSpeakerDesc,,話者に対するCFGガイダンス強度。大きいほど参照音声に近づきますが高すぎると音質が劣化します。,"CFG guidance strength for speaker. Higher values match the reference voice more closely but may degrade quality if too high.","说话人的CFG引导强度。数值越大越接近参考音频，但过高会降低音质。","說話者的CFG引導強度。數值越大越接近參考音頻，但過高會降低音質。","화자에 대한 CFG 가이던스 강도. 높을수록 참조 음성에 가까워지지만 너무 높으면 음질이 저하됩니다.","Intensidad de guía CFG para el hablante. Valores altos se acercan más a la voz de referencia pero pueden degradar la calidad.","قوة توجيه CFG للمتحدث. القيم الأعلى تقترب أكثر من الصوت المرجعي لكنها قد تقلل الجودة إذا كانت عالية جداً.","Kekuatan panduan CFG untuk pembicara. Nilai tinggi lebih mendekati suara referensi tetapi dapat menurunkan kualitas jika terlalu tinggi.",
LocalSettings,,Irodori-TTS設定（ローカル）,Irodori-TTS Settings (Local),Irodori-TTS设置（本地）,Irodori-TTS設定（本地）,Irodori-TTS 설정 (로컬),Configuración de Irodori-TTS (Local),إعدادات Irodori-TTS (محلي),Pengaturan Irodori-TTS (Lokal),
ServerSettings,,接続URL（任意）,Connection URL (Optional),连接URL（可选）,連接URL（可選）,접속 URL (선택),URL de conexión (Opcional),عنوان الاتصال (اختياري),URL Koneksi (Opsional),
TTSUrl,,TTS用URL,TTS URL,TTS URL,TTS URL,TTS URL,URL de TTS,عنوان TTS,URL TTS,
VoiceDesignUrl,,VoiceDesign用URL,VoiceDesign URL,VoiceDesign URL,VoiceDesign URL,VoiceDesign URL,URL de VoiceDesign,عنوان VoiceDesign,URL VoiceDesign,
GradioAppPath,,gradio_app.py,gradio_app.py,gradio_app.py,gradio_app.py,gradio_app.py,gradio_app.py,gradio_app.py,gradio_app.py,
ServerPort,,ポート番号,Port Number,端口号,埠號,포트 번호,Número de puerto,رقم المنفذ,Nomor Port,
ShowConsoleWindow,,コンソール画面を表示,Show Console Window,显示控制台窗口,顯示主控台視窗,콘솔 창 표시,Mostrar ventana de consola,إظهار نافذة وحدة التحكم,Tampilkan Jendela Konsol,
ServerStatus,,サーバーステータス,Server Status,服务器状态,伺服器狀態,서버 상태,Estado del servidor,حالة الخادم,Status Server,
ServerStatusUnknown,,不明,Unknown,未知,未知,알 수 없음,Desconocido,غير معروف,Tidak diketahui,
ServerStatusStopped,,停止中,Stopped,已停止,已停止,중지됨,Detenido,متوقف,Berhenti,
ServerStatusRunning,0: appName,実行中（{0}）,Running ({0}),运行中（{0}）,運行中（{0}）,실행 중 ({0}),En ejecución ({0}),قيد التشغيل ({0}),Berjalan ({0}),
ServerStatusCheck,,更新,Check,检查,檢查,확인,Verificar,تحقق,Periksa,
ServerShutdown,,終了,Stop,停止,停止,중지,Detener,إيقاف,Hentikan,
VoiceDesignSection,,VoiceDesign,VoiceDesign,VoiceDesign,VoiceDesign,VoiceDesign,VoiceDesign,VoiceDesign,VoiceDesign,
Caption,,声の特徴,Voice Characteristics,声音特征,聲音特徵,음성 특징,Características de voz,خصائص الصوت,Karakteristik Suara,
CaptionDesc,,声質の説明を入力します（例：明るく元気な若い女性の声）,"Enter a voice description (e.g., a bright and cheerful young woman's voice)","输入声音描述（如：开朗活泼的年轻女性声音）","輸入聲音描述（如：開朗活潑的年輕女性聲音）","음성 설명을 입력합니다 (예: 밝고 활기찬 젊은 여성의 목소리)","Ingrese una descripción de voz (ej: voz brillante y alegre de mujer joven)","أدخل وصفاً للصوت (مثال: صوت امرأة شابة مبهجة ومرحة)","Masukkan deskripsi suara (contoh: suara wanita muda yang ceria dan semangat)",
SpeechText,,セリフ内容,Speech Text,台词内容,台詞內容,대사 내용,Texto del discurso,نص الكلام,Teks Ucapan,
SpeechTextDesc,,参照音声のセリフ内容を入力します,Enter the speech text for the reference voice,输入参考音频的台词内容,輸入參考音頻的台詞內容,참조 음성의 대사 내용을 입력합니다,Ingrese el texto para la voz de referencia,أدخل نص الكلام للصوت المرجعي,Masukkan teks ucapan untuk suara referensi,
Seed,,シード値（任意）,Seed (Optional),种子值（可选）,種子值（可選）,시드값 (선택),Semilla (Opcional),البذرة (اختياري),Seed (Opsional),
SpeakerName,,話者名,Speaker Name,说话人名称,說話者名稱,화자 이름,Nombre del hablante,اسم المتحدث,Nama Pembicara,
Generate,,生成,Generate,生成,生成,생성,Generar,توليد,Hasilkan,
Preview,,プレビュー,Preview,预览,預覽,미리보기,Vista previa,معاينة,Pratinjau,
Save,,保存,Save,保存,儲存,저장,Guardar,حفظ,Simpan,
CreateNew,,新規作成,Create New,新建,新建,새로 만들기,Crear nuevo,إنشاء جديد,Buat Baru,
Delete,,削除,Delete,删除,刪除,삭제,Eliminar,حذف,Hapus,
SourceApp,,ソースアプリ,Source App,来源应用,來源應用,소스 앱,Aplicación origen,التطبيق المصدر,Aplikasi Sumber,
NameColumn,,名前,Name,名称,名稱,이름,Nombre,الاسم,Nama,
CaptionColumn,,声の特徴,Voice Characteristics,声音特征,聲音特徵,음성 특징,Características de voz,خصائص الصوت,Karakteristik Suara,
RefVoiceManagement,,参照音声管理,Reference Voice Management,参考音频管理,參考音頻管理,참조 음성 관리,Gestión de voces de referencia,إدارة الأصوات المرجعية,Manajemen Suara Referensi,
Generating,,生成中...,Generating...,生成中...,生成中...,생성 중...,Generando...,جارٍ التوليد...,Sedang menghasilkan...,
ServerStarting,,サーバー起動中...,Starting server...,服务器启动中...,伺服器啟動中...,서버 시작 중...,Iniciando servidor...,جارٍ تشغيل الخادم...,Memulai server...,
ServerNotConfigured,,uvパスまたはIrodori-TTSパスが設定されていません,uv path or Irodori-TTS path is not configured,未设置uv路径或Irodori-TTS路径,未設定uv路徑或Irodori-TTS路徑,uv 경로 또는 Irodori-TTS 경로가 설정되지 않았습니다,La ruta de uv o Irodori-TTS no está configurada,لم يتم تعيين مسار uv أو Irodori-TTS,Path uv atau Irodori-TTS belum dikonfigurasi,
FailedToGenerate,,音声の生成に失敗しました,Failed to generate voice,语音生成失败,語音生成失敗,음성 생성에 실패했습니다,Error al generar voz,فشل في توليد الصوت,Gagal menghasilkan suara,
FailedToConnect,,サーバーに接続できませんでした,Failed to connect to server,无法连接到服务器,無法連接到伺服器,서버에 연결할 수 없습니다,No se pudo conectar al servidor,فشل الاتصال بالخادم,Gagal terhubung ke server,
FirstGenerationNotice,,初回実行時はモデルのダウンロード（約2GB）とモデルの読み込みが行われるため、生成に時間がかかります。,The first run takes time to generate due to model download (~2GB) and loading.,首次运行时由于模型下载（约2GB）和加载生成需要一些时间。,首次運行時由於模型下載（約2GB）和載入生成需要一些時間。,첫 실행 시 모델 다운로드(약 2GB)와 로딩으로 생성에 시간이 걸립니다.,La primera ejecución tarda en generar debido a la descarga (~2GB) y carga del modelo.,يستغرق التشغيل الأول وقتاً في التوليد بسبب تنزيل النموذج (~2GB) وتحميله.,Saat pertama kali dijalankan pembuatan membutuhkan waktu karena unduhan model (~2GB) dan pemuatan.,
AboutIrodoriTTS,,Irodori-TTSについて,About Irodori-TTS,关于Irodori-TTS,關於Irodori-TTS,Irodori-TTS 정보,Acerca de Irodori-TTS,حول Irodori-TTS,Tentang Irodori-TTS,
HelpLinkText,,ヘルプ: Irodori-TTSの設定方法,Help: How to set up Irodori-TTS,帮助：Irodori-TTS设置方法,說明：如何設定Irodori-TTS,도움말: Irodori-TTS 설정 방법,Ayuda: Cómo configurar Irodori-TTS,مساعدة: كيفية إعداد Irodori-TTS,Bantuan: Cara mengatur Irodori-TTS,
AboutIrodoriTTSMessage,,Irodori-TTSはAratako氏が開発しているテキスト読み上げソフトウェアです。利用するには別途Irodori-TTSのインストールが必要です。,"Irodori-TTS is a text-to-speech software developed by Aratako. A separate installation of Irodori-TTS is required to use this feature.","Irodori-TTS是由Aratako开发的文本转语音软件。使用此功能需要另外安装Irodori-TTS。","Irodori-TTS是由Aratako開發的文字轉語音軟體。使用此功能需要另外安裝Irodori-TTS。","Irodori-TTS는 Aratako가 개발한 텍스트 음성 변환 소프트웨어입니다. 이 기능을 사용하려면 Irodori-TTS를 별도로 설치해야 합니다.","Irodori-TTS es un software de texto a voz desarrollado por Aratako. Se requiere una instalación separada de Irodori-TTS para usar esta función.","Irodori-TTS هو برنامج تحويل النص إلى كلام طوّره Aratako. يتطلب استخدام هذه الميزة تثبيت Irodori-TTS بشكل منفصل.","Irodori-TTS adalah perangkat lunak text-to-speech yang dikembangkan oleh Aratako. Instalasi Irodori-TTS secara terpisah diperlukan untuk menggunakan fitur ini.",
DeleteConfirmMessage,,参照音声を削除しますか？,Delete this reference voice?,确定要删除参考音频吗？,確定要刪除參考音頻嗎？,참조 음성을 삭제하시겠습니까?,¿Eliminar esta voz de referencia?,هل تريد حذف الصوت المرجعي؟,Hapus suara referensi ini?,
SpeakerNamePlaceholder,,話者名,Speaker name,说话人名称,說話者名稱,화자 이름,Nombre del hablante,اسم المتحدث,Nama pembicara,
CaptionPlaceholder,,落ち着いた若い女性の声,A calm young woman's voice,沉稳的年轻女性声音,沉穩的年輕女性聲音,차분한 젊은 여성의 목소리,Voz de mujer joven y tranquila,صوت امرأة شابة هادئة,Suara wanita muda yang tenang,
SpeechTextPlaceholder,,こんにちは、初めまして。よろしくお願いします。,"Hello, nice to meet you.",你好，初次见面，请多关照。,你好，初次見面，請多關照。,"안녕하세요, 처음 뵙겠습니다.","Hola, encantado de conocerte.",مرحباً، تشرفت بمعرفتك.,"Halo, senang bertemu dengan Anda.",
Stop,,停止,Stop,停止,停止,정지,Detener,إيقاف,Berhenti,
