Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
TextPasteEffectDefaultName,,テキストの貼り付け,Paste text,粘贴文本,貼上文字,텍스트 붙여넣기,Pegar texto,لصق النص,Tempel teks,
TextPasteEffectGroupName_Draw,,描画,Drawing,绘制,繪製,그리기,Dibujo,الرسم,Menggambar,
TextPasteEffectGroupName_Display,,表示,Display,显示,顯示,표시,Visualización,العرض,Tampilan,
TextPasteEffectGroupName_Text,,テキスト,Text,文本,文字,텍스트,Texto,النص,Teks,
TextPasteEffectDisplayName_X,,X,X,X,X,X,X,X,X,
TextPasteEffectDisplayName_Y,,Y,Y,Y,Y,Y,Y,Y,Y,
TextPasteEffectDisplayName_Z,,Z,Z,Z,Z,Z,Z,Z,Z,
TextPasteEffectDisplayName_Opacity,,不透明度,Opacity,不透明度,不透明度,불투명도,Opacidad,التعتيم,Opasitas,
TextPasteEffectDisplayName_Zoom,,拡大率,Zoom,缩放率,縮放率,확대율,Zoom,التكبير,Zoom,
TextPasteEffectDisplayName_Rotation,,回転角,Rotation,旋转角度,旋轉角度,회전 각도,Rotación,التدوير,Rotasi,
TextPasteEffectDisplayName_DisplayMode,,表示方法,Display method,显示方法,顯示方法,표시 방법,Método de visualización,طريقة العرض,Cara menampilkan,
TextPasteEffectDisplayName_Text,,テキスト,Text,文本,文字,텍스트,Texto,النص,Teks,
TextPasteEffectDisplayName_Font,,フォント,Font,字体,字體,글꼴,Fuente,الخط,Font,
TextPasteEffectDisplayName_Size,,サイズ,Size,大小,大小,크기,Tamaño,الحجم,Ukuran,
TextPasteEffectDisplayName_Color,,文字色,Text color,文字颜色,文字顏色,글자 색상,Color de texto,لون النص,Warna teks,
TextPasteEffectDisplayName_CharSpacing,,文字間隔,Character spacing,字符间距,字元間距,글자 간격,Espaciado de caracteres,تباعد الحروف,Jarak karakter,
TextPasteEffectDisplayName_LineHeight,,行の高さ,Line height,行高,行高,줄 높이,Altura de línea,ارتفاع السطر,Tinggi baris,
TextPasteEffectDiscription_X,,描画位置のX座標,X coordinate of drawing position,绘制位置的X坐标,繪製位置的X座標,그리기 위치의 X 좌표,Coordenada X de la posición de dibujo,إحداثي X لموضع الرسم,Koordinat X posisi menggambar,
TextPasteEffectDiscription_Y,,描画位置のY座標,Y coordinate of drawing position,绘制位置的Y坐标,繪製位置的Y座標,그리기 위치의 Y 좌표,Coordenada Y de la posición de dibujo,إحداثي Y لموضع الرسم,Koordinat Y posisi menggambar,
TextPasteEffectDiscription_Z,,描画位置のZ座標,Z coordinate of drawing position,绘制位置的Z坐标,繪製位置的Z座標,그리기 위치의 Z 좌표,Coordenada Z de la posición de dibujo,إحداثي Z لموضع الرسم,Koordinat Z posisi menggambar,
TextPasteEffectDiscription_Opacity,,描画の不透明度,Opacity of drawing,绘制的不透明度,繪製的不透明度,그리기의 불투명도,Opacidad del dibujo,تعتيم الرسم,Opasitas gambar,
TextPasteEffectDiscription_Zoom,,描画の拡大率,Zoom of drawing,绘制的缩放率,繪製的縮放率,그리기의 확대율,Zoom del dibujo,تكبير الرسم,Zoom gambar,
