Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
InOutCropEffectName,,クリッピングを解除しながら登場退場,Appearing and exiting while releasing clipping,取消裁剪时入/出场,釋放夾子時進入和退出,클리핑을 해제하면서 등장 퇴장,Entrar y salir mientras se libera el recorte,الدخول والخروج أثناء تحرير القطع,Masuk dan keluar sambil melepaskan kliping,
InOutCropEffectGroupName,,登場退場,Appearance and exit,入/出场,登場退場,등장 퇴장,Salida de la comparecencia,ظهور ومغادرة,Masuk dan keluar,
InOutCropEffectInCropDirectionName,,登場時,Appearing,入场时,登場時,등장 시,En el momento de la aparición,أثناء الظهور,Masuk,
InOutCropEffectInCropDirectionDesc,,クリッピングの方向,Clipping Direction,裁剪方向,剪裁方向,클리핑 방향,Dirección de recorte,اتجاه القطع,Arah Kliping,
InOutCropEffectOutCropDirectionName,,退場時,Exit,出场时,退場時,퇴장 시,Al salir,عند الخروج,Keluar,
InOutCropEffectOutCropDirectionDesc,,クリッピングの方向,Clipping Direction,裁剪方向,剪裁方向,클리핑 방향,Dirección de recorte,اتجاه القطع,Arah Kliping,
InOutCropEffectIsCenteringName,,中央寄せ,Centered,居中,置中對齊,중앙 정렬,Centrado,مُتمركز,Tengah,
InOutCropEffectIsCenteringDesc,,中央寄せ,Centered,居中,置中對齊,중앙 정렬,Centrado,توسيط,Tengah,
InOutCropEffectEffectDurationName,,効果時間,Duration,效果时间,效果時間,효과 시간,Duración del efecto,مدة التأثير,Durasi,
InOutCropEffectEffectDurationDesc,,エフェクトが再生される秒数,Number of seconds the effect plays,效果播放秒数,效果持續秒數,효과가 재생되는 시간(초),Número de segundos que dura un efecto,عدد الثواني التي يستمر فيها التأثير,Jumlah detik efek diputar,
InOutCropEffectEasingTypeName,,種類,Type,类型,種類,종류,Tipo,نوع,Tipe,
InOutCropEffectEasingTypeDesc,,アニメーションの種類,Animation type,动画类型,動畫的種類,애니메이션의 종류,Tipo de animación,نوع الحركة,Jenis animasi,
InOutCropEffectEasingModeName,,加減速,Easing,缓动,加減速,가감속,aceleración/deceleración,تيسير,Easing,
InOutCropEffectEasingModeDesc,,アニメーションの加減速,Animation acceleration/deceleration,动画缓动,動畫的加減速,애니메이션 가속 / 감속,Aceleración/desaceleración de la animación,حركة تسارع / تباطؤ,Animasi akselerasi/deselerasi,
InOutCropEffectSecUnit,,秒,sec,秒,秒,초,Segundos,ثانية,dtk,
InOutCropEffectCropDirectionTopName,,上,Top,上,上,위쪽,Arriba,أعلى,Atas,
InOutCropEffectCropDirectionTopDesc,,上,Top,上,上,위쪽,Arriba,أعلى,Atas,
InOutCropEffectCropDirectionBottomName,,下,Bottom,下,下,아래,Abajo,الأسفل,Bawah,
InOutCropEffectCropDirectionBottomDesc,,下,Bottom,下,下,아래,Abajo,أسفل,Bawah,
InOutCropEffectCropDirectionLeftName,,左,Left,左,左,왼쪽,Izquierda,يسار,Kiri,
InOutCropEffectCropDirectionLeftDesc,,左,Left,左,左,왼쪽,Izquierda.,يسار,Kiri,
InOutCropEffectCropDirectionRightName,,右,Right,右,右,오른쪽,Derecha,اليمين,Kanan,
InOutCropEffectCropDirectionRightDesc,,右,Right,右,右,오른쪽,Derecha,اليمين,Kanan,
InOutCropEffectCropDirectionNoneName,,なし,None,无,沒有任何,없음,No,لا أملك,Tidak ada,
InOutCropEffectCropDirectionNoneDesc,,なし,None,没有任何,沒有任何,없음,No,لا أملك,Tidak ada,
