Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
XName,,X, X, X, X, X, X, X, X,
XDesc,,光源座標X,Light source X,光源坐标X,光源座標X,빛의 원점 X,Coordenada X de la fuente de luz,إكس الإضاءة,Sumber Cahaya X,
YName,,Y, Y, Y, Y, Y, Y, Y, Y,
YDesc,,光源座標Y,Light source Y,光源坐标Y,光源座標Y,빛의 원점 Y,Coordenada Y de la fuente de luz,إيجاد الإضاءة,Sumber Cahaya Y,
ZName,,Z, Z, Z, Z, Z, Z, Z, Z,
ZDesc,,光源座標Z,Light source Z,光源坐标Z,光源座標Z,빛의 원점 Z,Coordenada Z de la fuente de luz,زد الإضاءة,Sumber Cahaya Z,
ConstantName,,強度,Strength,强度,強度,강도,Intensidad,قوة,Intensitas,
ConstantDesc,,光の強さ,Light strength,发光强度,光的強度,빛의 강도,Intensidad de la luz,قوة الضوء,Intensitas Cahaya,
ExponentName,,減衰,Attenuation,衰减,衰減,감쇠,Atenuación,التضاءل,Reduksi,
ExponentDesc,,数値を大きくするほど減衰するようになります。,"The larger the value, the more attenuation.",数值越大，衰减越强。,數值越大，衰減越強。,값이 클수록 감쇠가 커집니다.,"Cuanto mayor sea el valor, mayor será la atenuación.",كلما زادت القيمة ، زاد التضاءل.,"Semakin besar nilai, semakin besar redup",
SurfaceScale,,高さ,Height,高度,高度,높이,Altura,ارتفاع,Tinggi,
Color,,色,Color,颜色,顏色,색깔,Color,لون,Warna,
Light,,光源,Light,光源,光源,빛,Luz,ضوء,Cahaya,
Heightmap,,ハイトマップ,Heightmap,高度图,高度圖,높이 맵,Mapa de altura,خريطة الارتفاع,Peta Ketinggian,
Zoom,,拡大率,Zoom,缩放率,縮放,줌,Zoom,تكبير,Perbesar,
FileName,,ファイル,File,文件,文件,파일,Archivo,ملف,Berkas,
FileDesc,,ハイトマップのファイル,Heightmap file,高度图文件,高度圖文件,높이 맵 파일,Archivo de mapa de altura,ملف خريطة الارتفاع,Berkas peta ketinggian,
BlendModeName,,合成モード,Composition,混合模式,合成模式,합성 모드,Modo compuesto,وضع مزج التركيب,Mode Komposisi,
BlendModeDesc,,合成モード,Composite mode,混合模式,合成模式,합성 모드,Modo compuesto,وضع التكوين,Mode Komposit,
Azimuth,,方位角,Azimuth,方位角,方位角,방위각,Azimut,زاوية السمت,Azimut,
Elevation,,仰角,Elevation,俯仰角,仰角,고도,Inclinación,زاوية الارتفاع,Elevasi,
BlurRadius,,ぼかし,Blur,模糊半径,模糊半徑,블러 반경,Desenfoque,نصف قطر الضبابية,Radius Kabur,
Invert,,反転,Invert,反转,反轉,반전,Invertir,عكس,Invers,
PointDiffuse,,拡散反射（点光源）,Diffuse (Point Light),漫反射（点光源）,漫反射（点光源）,확산 반사 (점광원),Difuso (Punto de luz),انعكاس الانتشار (ضوء النقطة),Diffuse (Titik Cahaya),
PointSpecular,,鏡面反射（点光源）,Specular (Point Light),镜面反射（点光源）,鏡面反射（点光源）,거울 반사 (점광원),Reflejo especular (Punto de luz),انعكاس مرآة (ضوء النقطة),Spekular (Titik Cahaya),
DistantDiffuse,,拡散反射（平行光源）,Diffuse (Distant Light),漫反射（平行光源）,漫反射（平行光源）,확산 반사 (원거리 빛),Difuso (Luz distante),انعكاس الانتشار (ضوء بعيد),Diffuse (Cahaya Jauh),
DistantSpecular,,鏡面反射（平行光源）,Specular (Distant Light),镜面反射（平行光源）,鏡面反射（平行光源）,거울 반사 (원거리 빛),Reflejo especular (Luz distante),انعكاس مرآة (ضوء بعيد),Spekular (Cahaya Jauh),
Rotation,,回転角,Rotation,旋转角,旋轉角,회전 각도,Rotación,زاوية الدوران,Rotasi,
Mode,,モード,Mode,模式,模式,모드,Modo,وضع,Mode,
Highlight,,ハイライト,Highlight,高光,高光,하이라이트,Resaltar,تسليط الضوء,Highlight,
Reflection,,反射,Reflection,反射,反射,반사,Reflejo,انعكاس,Reflection,
Bevel,,面取り,Bevel,斜面,倒角,면,Chaflán,مائل,Bevel,
Thickness,,太さ,Thickness,厚度,厚度,두께,Grosor,سمك,Ketebalan,
ReflectionAndExtrusion,,反射と立体化,Reflection and Extrusion,反射和挤出,反射和挤出,반사 및 입체화,Reflejo y extrusión,انعكاس وتشكيل,Refleksi dan Extrusi,
Extrusion,,立体化,Extrusion,挤出,挤出,입체화,Extrusión,تشكيل,Ekstrusi,
StraightBevel,,直線,Straight,直线,直線,직선,Recto,مستقيم,Straight,
RoundBevel,,凸丸,Round,圆角,圓角,둥근,Redondo,مستدير,Putaran,
InvertedRoundBevel,,凹丸,Inverted Round,凹圆角,凹圓角,역 둥근,Redondo invertido,مستدير مقلوب,Putaran Terbalik,
StepBevel,,段差,Step,阶梯,階梯,단계,Escalón,خطوة,Langkah,
StringBevel,,丸縁取り,Round Border,圆边,圓弧,둥근 테두리,Redondear,مستدير,Putaran,
HeadCollerBevel,,角縁取り,Angular Border,角边,角邊,각진 테두리,Chaflán angular,حافة زاوية,Batas Bersudut,
BevelMode,,面取り種類,Bevel Mode,斜面模式,倒角模式,면 모드,Modo de chaflán,وضع المائل,Mode Bevel,
LinearHdrComposite,,HDR合成,HDR Composite,HDR合成,HDR合成,HDR 합성,Composición HDR,تركيب HDR,Komposit HDR,
LinearHdrCompositeDesc,,反射を線形色空間の16bit浮動小数点バッファで合成し、Reinhardトーンマップ後にsRGBへ変換します。,Composites reflections in a linear 16-bit float buffer then applies Reinhard tone mapping and converts to sRGB.,在线性16位浮点缓冲区中合成反射，应用Reinhard色调映射后转换为sRGB。,在線性16位浮點緩衝區中合成反射，套用Reinhard色調映射後轉換為sRGB。,반사를 선형 16비트 부동 소수점 버퍼에서 합성한 뒤 Reinhard 톤 매핑 후 sRGB로 변환합니다.,Compone los reflejos en un búfer lineal de 16 bits aplica Reinhard y convierte a sRGB.,يركب الانعكاسات في مخزن خطي عائم 16 بت ثم يطبق Reinhard ويحول إلى sRGB.,Mengomposisikan pantulan dalam buffer float linear 16-bit lalu menerapkan Reinhard dan mengubah ke sRGB.,
Occlusion,,遮蔽,Occlusion,遮蔽,遮蔽,차폐,Oclusión,الحجب,Oklusi,
