Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
ConditionalDynamicsEffect,,条件分岐ダイナミクス,Conditional Dynamics,条件动态效果,條件動態效果,조건 다이나믹스,Dinámica Condicional,ديناميكيات مشروطة,Dinamika Kondisional,
DetectionGroup,,検出,Detection,检测,檢測,감지,Detección,الكشف,Deteksi,
DetectionModeName,,検出モード,Detection Mode,检测模式,檢測模式,감지 모드,Modo de Detección,وضع الكشف,Mode Deteksi,
DetectionModeDesc,,レベル検出の方式,Level detection method,电平检测方式,電平檢測方式,레벨 감지 방법,Método de detección de nivel,طريقة كشف المستوى,Metode deteksi level,
DetectionModeRms,,RMS,RMS,RMS,RMS,RMS,RMS,RMS,RMS,
DetectionModeRmsDesc,,二乗平均平方根で検出,Root mean square detection,均方根检测,均方根檢測,제곱 평균 제곱근으로 감지,Detección por valor cuadrático medio,الكشف بالجذر التربيعي للمتوسط,Deteksi akar rata-rata kuadrat,
DetectionModePeak,,ピーク,Peak,峰值,峰值,피크,Pico,قمة,Puncak,
DetectionModePeakDesc,,ピーク値で検出,Peak level detection,峰值电平检测,峰值電平檢測,피크 레벨로 감지,Detección por nivel de pico,الكشف بمستوى الذروة,Deteksi level puncak,
RmsWindowMsName,,RMSウィンドウ,RMS Window,RMS 窗口,RMS 視窗,RMS 창,Ventana RMS,نافذة RMS,Jendela RMS,
RmsWindowMsDesc,,RMS計算に使用する時間窓（ミリ秒）,Time window for RMS calculation (ms),用于RMS计算的时间窗口（毫秒）,用於RMS計算的時間視窗（毫秒）,RMS 계산에 사용할 시간 창(밀리초),Ventana de tiempo para el cálculo RMS (ms),نافذة الوقت لحساب RMS (مللي ثانية),Jendela waktu untuk perhitungan RMS (ms),
ThresholdDbName,,閾値,Threshold,阈值,閾值,스레쇼울드,Umbral,عتبة,Ambang Batas,
ThresholdDbDesc,,条件判定の基準レベル（dB）,Reference level for condition (dB),条件判断的基准电平（dB）,條件判斷的基準電平（dB）,조건 판정 기준 레벨(dB),Nivel de referencia para la condición (dB),المستوى المرجعي للشرط (ديسيبل),Level referensi kondisi (dB),
AttackMsName,,アタック,Attack,起音,起音,어택,Ataque,هجوم,Serangan,
AttackMsDesc,,閾値超過を検出するまでの時間（ミリ秒）,Time to detect threshold crossing (ms),检测到超过阈值的时间（毫秒）,檢測到超過閾值的時間（毫秒）,스레쇼울드 초과를 감지하기까지의 시간(밀리초),Tiempo para detectar el cruce del umbral (ms),وقت الكشف عن تجاوز العتبة (مللي ثانية),Waktu deteksi pelampauan ambang batas (ms),
ReleaseMsName,,リリース,Release,释放,釋放,릴리즈,Liberación,إطلاق,Pelepasan,
ReleaseMsDesc,,閾値を下回るのを検出するまでの時間（ミリ秒）,Time to detect level falling below threshold (ms),检测到低于阈值的时间（毫秒）,檢測到低於閾值的時間（毫秒）,스레쇼울드 미만을 감지하기까지의 시간(밀리초),Tiempo para detectar nivel por debajo del umbral (ms),وقت الكشف عن مستوى أقل من العتبة (مللي ثانية),Waktu deteksi level di bawah ambang batas (ms),
BelowEffectsGroup,,条件以下,Below Threshold,阈值以下,閾值以下,스레쇼울드 이하,Por Debajo del Umbral,ما دون العتبة,Di Bawah Ambang Batas,
BelowEffectsDesc,,レベルが閾値以下のときに適用するエフェクト（空の場合はバイパス）,Effects applied when level is below threshold (bypass if empty),电平低于阈值时应用的效果（为空则旁路）,電平低於閾值時應用的效果（為空則旁路）,레벨이 스레쇼울드 이하일 때 적용할 효과(비어 있으면 바이패스),Efectos aplicados cuando el nivel está por debajo del umbral (bypass si está vacío),التأثيرات عندما يكون المستوى أقل من العتبة (تجاوز إذا كان فارغًا),Efek ketika level di bawah ambang batas (bypass jika kosong),
AboveEffectsGroup,,条件以上,Above Threshold,阈值以上,閾值以上,스레쇼울드 이상,Por Encima del Umbral,فوق العتبة,Di Atas Ambang Batas,
AboveEffectsDesc,,レベルが閾値以上のときに適用するエフェクト（空の場合はバイパス）,Effects applied when level is above threshold (bypass if empty),电平高于阈值时应用的效果（为空则旁路）,電平高於閾值時應用的效果（為空則旁路）,레벨이 스레쇼울드 이상일 때 적용할 효과(비어 있으면 바이패스),Efectos aplicados cuando el nivel está por encima del umbral (bypass si está vacío),التأثيرات عندما يكون المستوى أعلى من العتبة (تجاوز إذا كان فارغًا),Efek ketika level di atas ambang batas (bypass jika kosong),
