Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
UnitCount,,個,units,单元个数,个,개,unidades,وحدات,Unit,
RectangleGlitchNoise,,グリッチノイズ（四角形）,Glitch Noise (Rectangles),故障噪音（矩形）,故障噪音（矩形）,글리치 노이즈 (직사각형),Ruido de falla (rectángulos),ضوضاء التشويش (مستطيلات),Kebisingan Glitch (Persegi Panjang),
RectangleCount,,四角形の数,Number of Rectangles,矩形的数量,矩形的數量,사각형의 수,Cantidad de rectángulos,عدد المستطيلات,Jumlah Persegi Panjang,
RectangleMaxWidth,,四角形の幅, Width of Rectangles,矩形的宽度,矩形的寬度,사각형의 너비,Ancho de los rectángulos,عرض المستطيلات,Lebar Persegi Panjang,
RectangleMaxHeight,,四角形の高さ,Height of Rectangles,矩形的高度,矩形的高度,사각형의 높이,Altura de los rectángulos,ارتفاع المستطيلات,Tinggi Persegi Panjang,
RectangleMaxXShift,,四角形横ずれ,Horizontal Shift of Rectangles,矩形水平偏移,矩形水平偏移,사각형의 가로 이동,Desplazamiento horizontal de los rectángulos,الانحراف الأفقي للمستطيلات,Perpindahan Horizontal Persegi Panjang,
RectangleMaxYShift,,四角形縦ずれ,Vertical Shift of Rectangles,矩形垂直偏移,矩形垂直偏移,사각형의 세로 이동,Desplazamiento vertical de los rectángulos,الانحراف العمودي للمستطيلات,Perpindahan Vertikal Persegi Panjang,
ColorMaxShift,,色ずれ,Color shift,色彩偏移,顏色偏移,색상 이동,Desplazamiento de color,انزياح اللون,Pergeseran warna,
PlaybackRate,,再生速度,Playback rate,播放速度,播放速度,재생 속도,Velocidad de reproducción,"معدل تشغيل الضوضاء المتموجة",Kecepatan pemutaran,
IsClipping,,切り抜き,Cropping,裁剪,裁剪,자르기,Corte,قص,Crop,
IsHardBorderMode,,サイズを固定,Fixed size,固定大小,固定大小,크기 고정,Tamaño fijo,بيرلن,Ukuran tetap,
ComplicationGroupName,,複雑化,Complication,复杂化,複雜化,복잡화,Complicación,التعقيد,Komplikasi,
Repeat,,繰り返し,Repetition,重复,重複,반복,Repetición,تكرار,Pengulangan,
RectangleMaxWidthAttenuation,,幅減衰,Width Attenuation,宽度衰减,寬度衰減,폭 감쇠,Atenuación de ancho,تخفيف العرض,Attenuasi Lebar,
RectangleMaxHeightAttenuation,,高さ減衰,Height Attenuation,高度衰减,高度衰減,높이 감쇠,Atenuación de altura,تخفيف الارتفاع,Attenuasi Tinggi,
RectangleMaxXShiftAttenuation,,横ずれ減衰,Horizontal Shift Attenuation,横向偏移衰减,橫向偏移衰減,가로 이동 감쇠,Atenuación del desplazamiento horizontal,تخفيف الانحراف الأفقي,Attenuasi Perpindahan Horizontal,
RectangleMaxYShiftAttenuation,,縦ずれ減衰,Vertical Shift Attenuation,纵向偏移衰减,縱向偏移衰減,세로 이동 감쇠,Atenuación del desplazamiento vertical,تخفيف الانحراف العمودي,Attenuasi Perpindahan Vertikal,
