Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
PluginName,,MediaFoundation高速出力,MediaFoundation Fast Output,MediaFoundation 高速输出,MediaFoundation 高速輸出,MediaFoundation 고속 출력,Salida rápida MediaFoundation,إخراج MediaFoundation السريع,Output Cepat MediaFoundation,
VideoSettings,,映像設定,Video Settings,视频设置,視訊設定,비디오 설정,Configuración de vídeo,إعدادات الفيديو,Pengaturan Video,
BitRateControlMode,,レート制御モード,Rate Control Mode,码率控制模式,位元率控制模式,레이트 제어 모드,Modo de control de tasa,وضع التحكم في معدل البت,Mode Kontrol Laju Bit,
BitRateControlModeCBR,,固定ビットレート (CBR),Constant Bit Rate (CBR),恒定码率 (CBR),固定位元率 (CBR),고정 비트레이트 (CBR),Tasa de bits constante (CBR),معدل بت ثابت (CBR),Laju Bit Konstan (CBR),
BitRateControlModeCBRDesc,,常に一定のビットレートで出力します。配信用途に適しています。,Encodes at a constant bit rate. Suitable for streaming.,以恒定码率编码。适合流媒体用途。,以固定位元率編碼。適合串流用途。,일정한 비트레이트로 인코딩합니다. 스트리밍에 적합합니다.,Codifica a una tasa de bits constante. Adecuado para streaming.,يقوم بالترميز بمعدل بت ثابت. مناسب للبث.,Mengenkode dengan laju bit konstan. Cocok untuk streaming.,
BitRateControlModeVBR,,可変ビットレート (VBR),Variable Bit Rate (VBR),可变码率 (VBR),可變位元率 (VBR),가변 비트레이트 (VBR),Tasa de bits variable (VBR),معدل بت متغير (VBR),Laju Bit Variabel (VBR),
BitRateControlModeVBRDesc,,映像の複雑さに応じてビットレートを変化させます。,Varies the bit rate according to scene complexity.,根据场景复杂度调整码率。,依場景複雜度調整位元率。,장면 복잡도에 따라 비트레이트를 조정합니다.,Varía la tasa de bits según la complejidad de la escena.,يغيّر معدل البت حسب تعقيد المشهد.,Memvariasikan laju bit sesuai kompleksitas adegan.,
BitRateControlModeQuality,,品質基準,Quality Based,基于质量,品質基準,품질 기준,Basado en calidad,حسب الجودة,Berbasis Kualitas,
BitRateControlModeQualityDesc,,指定した品質を維持するようにビットレートを自動調整します。,Automatically adjusts the bit rate to maintain the specified quality.,自动调整码率以保持指定质量。,自動調整位元率以維持指定品質。,지정한 품질을 유지하도록 비트레이트를 자동 조정합니다.,Ajusta automáticamente la tasa de bits para mantener la calidad especificada.,يضبط معدل البت تلقائيًا للحفاظ على الجودة المحددة.,Menyesuaikan laju bit secara otomatis untuk mempertahankan kualitas yang ditentukan.,
VideoBitRate,,映像ビットレート,Video Bit Rate,视频码率,視訊位元率,비디오 비트레이트,Tasa de bits de vídeo,معدل بت الفيديو,Laju Bit Video,
VideoBitRateAutoNote,,0で解像度とフレームレートから自動算出します。,0 = calculated automatically from resolution and frame rate.,0 为根据分辨率和帧率自动计算。,0 為依解析度與畫面更新率自動計算。,0 = 해상도와 프레임 레이트로부터 자동 계산합니다.,0 = se calcula automáticamente a partir de la resolución y la velocidad de fotogramas.,0 = يُحسب تلقائيًا من الدقة ومعدل الإطارات.,0 = dihitung otomatis dari resolusi dan laju bingkai.,
VideoQuality,,品質,Quality,质量,品質,품질,Calidad,الجودة,Kualitas,
EncodeSpeed,,エンコード速度,Encode Speed,编码速度,編碼速度,인코딩 속도,Velocidad de codificación,سرعة الترميز,Kecepatan Enkode,
EncodeSpeedNote,,大きいほど高速ですが画質が低下する場合があります。,Higher is faster but may reduce quality.,数值越大速度越快，但画质可能下降。,數值越大速度越快，但畫質可能下降。,클수록 빠르지만 화질이 저하될 수 있습니다.,Más alto es más rápido pero puede reducir la calidad.,القيمة الأعلى أسرع ولكنها قد تقلل الجودة.,Semakin tinggi semakin cepat tetapi dapat menurunkan kualitas.,
NumberOfThreads,,スレッド数,Thread Count,线程数,執行緒數,스레드 수,Número de hilos,عدد الخيوط,Jumlah Thread,
