Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
GrowlEffect,,がなり,Growl,嘶吼,嘶吼,그르렁,Gruñido,خشونة الصوت,Geraman,
DriveDbName,,ドライブ,Drive,驱动,驅動,드라이브,Saturación,تشبع,Penggerak,
DriveDbDesc,,入力信号に与える歪み量（dB）。値が大きいほど倍音が豊かになります。,Distortion amount applied to the input signal (dB). Higher values produce richer harmonics.,输入信号的失真量（dB）。值越大谐波越丰富。,輸入信號的失真量（dB）。值越大諧波越豐富。,입력 신호에 적용되는 왜곡량（dB）。값이 클수록 배음이 풍부해집니다.,Cantidad de distorsión aplicada a la señal de entrada (dB). Valores más altos producen armónicos más ricos.,مقدار التشويه المطبق على إشارة الإدخال (ديسيبل). القيم الأعلى تنتج توافقيات أغنى.,Jumlah distorsi yang diterapkan pada sinyal masukan (dB). Nilai yang lebih tinggi menghasilkan harmonik yang lebih kaya.,
AsymmetryName,,非対称性,Asymmetry,非对称性,非對稱性,비대칭성,Asimetría,عدم تناظر,Asimetri,
AsymmetryDesc,,波形歪みの非対称度。偶数次倍音の量を制御します。,Asymmetry of the waveshaping function. Controls the amount of even-order harmonics.,波形失真的非对称度。控制偶数次谐波的量。,波形失真的非對稱度。控制偶數次諧波的量。,파형 왜곡의 비대칭도。짝수 차수 배음의 양을 제어합니다.,Asimetría de la función de modelado. Controla la cantidad de armónicos de orden par.,عدم تناظر دالة تشكيل الموجة. يتحكم في كمية التوافقيات ذات الرتبة الزوجية.,Asimetri fungsi pembentukan gelombang. Mengontrol jumlah harmonik orde genap.,
RoughnessName,,ラフネス,Roughness,粗糙度,粗糙度,거칠기,Aspereza,خشونة,Kekasaran,
RoughnessDesc,,振幅変調による声の粗さ。値が大きいほど唸るような質感が得られます。,Voice roughness via amplitude modulation. Higher values produce a more growling texture.,通过振幅调制实现的人声粗糙度。值越大越具有咆哮般的质感。,透過振幅調製實現的人聲粗糙度。值越大越具有咆哮般的質感。,진폭 변조에 의한 음성 거칠기。값이 클수록 으르렁거리는 질감이 됩니다.,Aspereza vocal mediante modulación de amplitud. Valores más altos producen una textura más áspera.,خشونة الصوت عبر تعديل السعة. القيم الأعلى تنتج نسيجًا يشبه الزمجرة.,Kekasaran suara melalui modulasi amplitudo. Nilai yang lebih tinggi menghasilkan tekstur yang lebih menggeram.,
RoughnessFreqName,,ラフネス周波数,Roughness Frequency,粗糙度频率,粗糙度頻率,거칠기 주파수,Frecuencia de Aspereza,تردد الخشونة,Frekuensi Kekasaran,
RoughnessFreqDesc,,振幅変調の基本周波数（Hz）。声帯の不規則振動を模倣します。,Fundamental frequency of amplitude modulation (Hz). Emulates irregular vocal fold vibration.,振幅调制的基本频率（Hz）。模拟声带的不规则振动。,振幅調製的基本頻率（Hz）。模擬聲帶的不規則振動。,진폭 변조의 기본 주파수（Hz）。성대의 불규칙한 진동을 모방합니다.,Frecuencia fundamental de la modulación de amplitud (Hz). Emula la vibración irregular de las cuerdas vocales.,التردد الأساسي لتعديل السعة (هرتز). يحاكي اهتزاز الحبال الصوتية غير المنتظم.,Frekuensi dasar modulasi amplitudo (Hz). Meniru getaran tidak beraturan dari pita suara.,
ToneDbName,,トーン,Tone,音色,音色,톤,Tono,نغمة,Nada,
ToneDbDesc,,高域シェルフによる明るさ調整（dB）。,Brightness adjustment via high-shelf filtering (dB).,通过高频搁架进行的明亮度调整（dB）。,透過高頻擱架進行的明亮度調整（dB）。,고주파 셸프 필터에 의한 밝기 조정（dB）。,Ajuste de brillo mediante filtrado shelf de altas frecuencias (dB).,ضبط السطوع عبر تصفية الشيلف للترددات العالية (ديسيبل).,Penyesuaian kecerahan melalui pemfilteran shelf frekuensi tinggi (dB).,
MixName,,ミックス,Mix,混合,混合,믹스,Mezcla,مزج,Campuran,
MixDesc,,原音と処理音のミックス比（%）。,Mix ratio between the dry and processed signals (%).,原始信号与处理信号的混合比（%）。,原始信號與處理信號的混合比（%）。,원본 신호와 처리된 신호의 믹스 비율（%）。,Relación de mezcla entre la señal seca y procesada (%).,نسبة المزج بين الإشارة الجافة والمعالجة (%).,Rasio campuran antara sinyal kering dan yang diproses (%).,
