Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
PointLight,,拡散/鏡面反射（点光源）,Diffuse/Specular (Point Light),漫反射/镜面反射（点光源）,漫反射/鏡面反射（点光源）,확산/거울 반사 (점광원),Difuso/Especular (Punto de luz),الانتشار/الانعكاس السطحي (ضوء النقطة),Diffuse/Specular (Titik Cahaya),）
XName,,X, X, X, X, X, X, X, X,
XDesc,,光源座標X,Light source X,光源坐标X,光源座標X,빛의 원점 X,Coordenada X de la fuente de luz,إكس الإضاءة,Sumur Cahaya X,
YName,,Y, Y, Y, Y, Y, Y, Y, Y,
YDesc,,光源座標Y,Light source Y,光源坐标Y,光源座標Y,빛의 원점 Y,Coordenada Y de la fuente de luz,إيجاد الإضاءة,Sumur Cahaya Y,
ZName,,Z, Z, Z, Z, Z, Z, Z, Z,
ZDesc,,光源座標Z,Light source Z,光源坐标Z,光源座標Z,빛의 원점 Z,Coordenada Z de la fuente de luz,زد الإضاءة,Sumur Cahaya Z,
ConstantName,,強度,Strength,强度,強度,강도,Intensidad,قوة,Intensitas,
ConstantDesc,,光の強さ,Light strength,光的强度,光の強さ,빛의 강도,Intensidad de la luz,قوة الضوء,Intensitas Cahaya,
ExponentName,,減衰,Attenuation,衰减,衰減,감쇠,Atenuación,التضاءل,Reduksi,
ExponentDesc,,数値を大きくするほど減衰するようになります。,The larger the value, the more attenuation.,数値を大きくするほど減衰するようになります。,数値を大きくするほど減衰するようになります。,값이 클수록 감쇠가 커집니다.,Cuanto mayor sea el valor, mayor será la atenuación.,كلما زادت القيمة ، زاد التضاءل.,Semakin besar nilai, semakin besar redup,
SurfaceScale,,高さ,Height,高度,高度,높이,Altura,ارتفاع,Tinggi,
Color,,色,Color,颜色,顏色,색깔,Color,لون,Warna,
Light,,光源,Light,光源,光源,빛,Luz,ضوء,Cahaya,
Specular,,鏡面反射,Specular,镜面反射,鏡面反射,거울 반사,Reflejo especular,انعكاس مرآة,Spekular,
Diffuse,,拡散反射,Diffuse,漫反射,漫反射,확산 반사,Reflejo difuso,انعكاس الانتشار,Diffus,
Hightmap,,ハイトマップ,Heightmap,高度图,高度圖,높이 맵,Mapa de altura,خريطة الارتفاع,Peta Ketinggian,
Zoom,,拡大率,Zoom,缩放,縮放,줌,Zoom,تكبير,Perbesar,
FileName,,ファイル,File,文件,文件,파일,Archivo,ملف,Berkas,
FileDesc,,ハイトマップのファイル,Heightmap file,高度图文件,高度圖文件,높이 맵 파일,Archivo de mapa de altura,ملف خريطة الارتفاع,Berkas peta ketinggian,
BlendModeName,,合成モード,Composition,混合模式,合成模式,합성 모드,Modo compuesto,وضع مزج التركيب,Mode Komposisi,
BlendModeDesc,,合成モード,Composite mode,混合模式,合成模式,합성 모드,Modo compuesto,وضع التكوين,Mode Komposit,
Azimuth,,方位角,Azimuth,方位角,方位角,방위각,Azimut,زاوية السمت,Azimut,
Elevation,,仰角,Elevation,俯仰角,仰角,고도,Inclinación,زاوية الارتفاع,Elevasi,
DistantLight,,拡散/鏡面反射（平行光源）,Diffuse/Specular (Distant Light),漫反射/镜面反射（平行光源）,漫反射/鏡面反射（平行光源）,확산/거울 반사 (원거리 빛),Difuso/Especular (Luz distante),الانتشار/الانعكاس السطحي (ضوء بعيد),Diffuse/Specular (Cahaya Jauh),
