Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
ShuffleTextEffectDefaultName,,テキストをシャッフルしながら登場退場,Appearing and exiting while shuffling texts,随机播放文本时出现和退出,隨機播放文字時出現和退出,텍스트 셔플 중 등장 및 종료,Apariencia y salida mientras se mezcla texto,الظهور والخروج أثناء خلط النص ,Tampilan dan keluar saat mengacak teks,
ShuffleTextEffectEnterName,,テキストをシャッフルしながら登場,Appearance while shuffling texts,随机播放文本时出现,隨機播放文字時出現,텍스트 셔플 중 등장,Mezclando texto mientras aparece,الظهور أثناء خلط النص ,Tampilan saat mengacak teks,
ShuffleTextEffectExitName,,テキストをシャッフルしながら退場,Exit while shuffling texts,随机播放文本时退出,隨機播放文字時退出,텍스트 셔플 중 종료,Salida mientras se mezcla texto,الخروج أثناء خلط النص ,Keluar saat mengacak teks,
ShuffleTextEffectName,,テキストをシャッフルしながら,while shuffling texts,随机播放文本时,隨機播放文字時,텍스트 셔플 중,mezclando texto,أثناء خلط النص ,saat mengacak teks,
ShuffleTextEffectGroupName_AppearanceAndExit,,登場退場, Appearance and exit,出现和退出,出現和退出,등장 및 종료,Apariencia y salida,الظهور والخروج,Penampilan dan keluar,
ShuffleTextEffectGroupName_AnimationText,,アニメーションテキスト,Animation texts,动画文本,動畫文本,애니메이션 텍스트,Texto de animación,نص متحرك,teks animasi,
ShuffleTextEffectDisplayName_Appearing,,登場時,Appearing,出现时,出現時,등장 시,Aparición,الظهور,Penampilan,
ShuffleTextEffectDisplayName_Exit,,退場時,Exit,退出时,退出時,종료 시,Salida,الخروج,Keluar,
ShuffleTextEffectDisplayName_Duration,,効果時間,Duration ,持续时间,持續時間,지속 시간,Duración,مدة,Durasi,
ShuffleTextEffectDisplayName_Interval,,間隔,Interval,间隔,間隔,간격,Intervalo,فاصل,Interval,
ShuffleTextEffectDisplayName_Delay,,ずれ,Delay,偏移,偏移,오차,Retraso,تأخير,Jarak,
ShuffleTextEffectDisplayName_DisplayMode,,表示方法,Display method,显示方法,顯示方法,표시 방법,Método de visualización,طريقة العرض,Cara menampilkan,
ShuffleTextEffectDisplayName_StartTime,,開始時間,Start time,开始时间,開始時間,시작 시간,Hora de inicio,وقت البدء,Waktu mulai,
