Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
ColorTransferEffectName,,色調転写,Color transfer,色调转移,色調轉移,색조 전사,Transferencia de color,نقل الألوان,Transfer warna
ColorTransferDetailGroup,,色調転写の詳細,Color transfer details,色调转移的详细设置,色調轉移的詳細設定,색조 전사 세부 설정,Detalles de la transferencia de color,تفاصيل نقل الألوان,Detail transfer warna
ColorTransferReference,,参照の取得元,Reference source,参考来源,參考來源,참조 원본,Origen de referencia,مصدر المرجع,Sumber referensi
ColorTransferReferenceDescription,,色を合わせる相手の取り方,How the image to match is obtained,匹配对象的获取方式,匹配對象的取得方式,색을 맞출 대상을 가져오는 방법,Cómo se obtiene la imagen de referencia,كيفية الحصول على الصورة المرجعية,Cara memperoleh gambar referensi
ColorTransferReferenceScene,,シーン,Scene,场景,場景,장면,Escena,مشهد,Adegan
ColorTransferReferenceSceneDescription,,別のシーンを描画して基準にする,Renders another scene and uses it as the reference,绘制其他场景作为基准,繪製其他場景作為基準,다른 장면을 그려 기준으로 삼습니다,Dibuja otra escena y la usa como referencia,يرسم مشهدا آخر ويستخدمه كمرجع,Menggambar adegan lain sebagai acuan
ColorTransferReferenceBranch,,分岐,Branch,分支,分支,분기,Rama,فرع,Cabang
ColorTransferReferenceBranchDescription,,同じアイテム内で分岐した映像を基準にする,Uses an image branched inside the same item,使用同一项目内分支出的影像作为基准,使用同一項目內分歧出的影像作為基準,같은 아이템 안에서 분기한 영상을 기준으로 삼습니다,Usa una imagen ramificada dentro del mismo elemento,يستخدم صورة متفرعة داخل العنصر نفسه,Menggunakan gambar yang dicabangkan di dalam item yang sama
ColorTransferScene,,参照するシーン,Reference scene,参考场景,參考場景,참조 장면,Escena de referencia,المشهد المرجعي,Adegan referensi
ColorTransferSceneDescription,,色の基準にするシーン。自分のシーンを選ぶと自分を除いた画面が基準になります,Scene used as the color reference. Choosing the item's own scene uses the screen without the item itself,作为色彩基准的场景。选择自身所在的场景时以排除自身的画面为基准,作為色彩基準的場景。選擇自身所在的場景時以排除自身的畫面為基準,색의 기준이 되는 장면입니다. 자신의 장면을 고르면 자신을 제외한 화면이 기준이 됩니다,Escena usada como referencia de color. Al elegir la escena propia se toma la pantalla sin el propio elemento,المشهد المستخدم كمرجع للألوان. عند اختيار مشهد العنصر نفسه تؤخذ الشاشة بدون العنصر,Adegan yang dijadikan acuan warna. Memilih adegan sendiri memakai layar tanpa item itu sendiri
