Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
ClaudeCode,,Claude Code,Claude Code,Claude Code,Claude Code,Claude Code,Claude Code,Claude Code,Claude Code,
Setup,,事前準備について,About setup,关于准备工作,關於準備工作,사전 준비에 대해,Acerca de la preparación,حول الإعداد,Tentang persiapan,
SetupDescription,,事前に Claude Code をインストールし、PowerShell またはコマンド プロンプトで Claude Code の初回セットアップを完了してください。,Install Claude Code in advance and complete its initial setup in PowerShell or Command Prompt.,请预先安装 Claude Code，并在 PowerShell 或命令提示符中完成 Claude Code 的首次设置。,請預先安裝 Claude Code，並在 PowerShell 或命令提示字元中完成 Claude Code 的首次設定。,사전에 Claude Code를 설치하고 PowerShell 또는 명령 프롬프트에서 Claude Code의 초기 설정을 완료해 주세요.,Instala Claude Code con antelación y completa su configuración inicial en PowerShell o Command Prompt.,قم بتثبيت Claude Code مسبقًا وأكمل الإعداد الأولي له في PowerShell أو موجه الأوامر.,Instal Claude Code terlebih dahulu dan selesaikan penyiapan awal Claude Code di PowerShell atau Command Prompt.,
ApiKey,,APIキー（任意）,API Key (optional),API密钥（可选）,API 金鑰（選填）,API 키(선택),Clave API (opcional),مفتاح API (اختياري),Kunci API (opsional),
Model,,モデル名（任意）,Model name (optional),模型名称（可选）,模型名稱（選填）,모델명(선택),Nombre del modelo (opcional),اسم النموذج (اختياري),Nama model (opsional),
TimeoutSeconds,,タイムアウト（秒）,Timeout (seconds),超时（秒）,逾時（秒）,시간 초과(초),Tiempo de espera (segundos),المهلة (بالثواني),Batas waktu (detik),
SendCurrentFrame,,現在のフレームを送信する,Send current frame,发送当前帧,傳送目前影格,현재 프레임 전송,Enviar fotograma actual,إرسال الإطار الحالي,Kirim frame saat ini,
ClaudeCodeProcessStartFailedMessage,,Claude Codeの起動に失敗しました。,Failed to start Claude Code.,启动 Claude Code 失败。,啟動 Claude Code 失敗。,Claude Code를 시작하지 못했습니다.,No se pudo iniciar Claude Code.,فشل تشغيل Claude Code.,Gagal memulai Claude Code.,
ClaudeCodeTimeoutMessage,0: seconds,Claude Codeが{0}秒以内に応答しませんでした。,Claude Code did not respond within {0} seconds.,Claude Code 未在 {0} 秒内响应。,Claude Code 未在 {0} 秒內回應。,Claude Code가 {0}초 안에 응답하지 않았습니다.,Claude Code no respondió dentro de {0} segundos.,لم يستجب Claude Code خلال {0} ثانية.,Claude Code tidak merespons dalam {0} detik.,
ClaudeCodeProcessFailedMessage,0: exit code 1: details,Claude Codeがエラーで終了しました。(終了コード: {0}) {1},Claude Code exited with an error. (Exit code: {0}) {1},Claude Code 错误退出。（退出代码: {0}）{1},Claude Code 錯誤結束。（結束代碼: {0}）{1},Claude Code가 오류와 함께 종료되었습니다. (종료 코드: {0}) {1},Claude Code finalizó con un error. (Código de salida: {0}) {1},انتهى Claude Code بخطأ. (رمز الخروج: {0}) {1},Claude Code berhenti dengan kesalahan. (Kode keluar: {0}) {1},
ClaudeCodeEmptyResponseMessage,,Claude Codeから応答を取得できませんでした。,No response was received from Claude Code.,未能从 Claude Code 获取响应。,無法從 Claude Code 取得回應。,Claude Code로부터 응답을 받지 못했습니다.,No se recibió respuesta de Claude Code.,لم يتم تلقي استجابة من Claude Code.,Tidak ada respons yang diterima dari Claude Code.,
NoDetails,,詳細はありません。,No details.,没有详细信息。,沒有詳細資訊。,자세한 내용이 없습니다.,No hay detalles.,لا توجد تفاصيل.,Tidak ada detail.,
Effort,,思考レベル,Effort level,思考级别,思考層級,사고 수준,Nivel de esfuerzo,مستوى الجهد,Tingkat usaha,
EffortLow,,低（高速）,Low (fast),低（快速）,低（快速）,낮음(빠름),Bajo (rápido),منخفض (سريع),Rendah (cepat),
EffortMedium,,中,Medium,中,中,중간,Medio,متوسط,Sedang,
EffortHigh,,高,High,高,高,높음,Alto,عالي,Tinggi,
EffortMax,,最大,Max,最大,最大,최대,Máximo,الحد الأقصى,Maksimum,

