Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
GeminiCLI,,Gemini CLI,Gemini CLI,Gemini CLI,Gemini CLI,Gemini CLI,Gemini CLI,Gemini CLI,Gemini CLI,
Setup,,事前準備について,About setup,关于准备工作,關於準備工作,사전 준비에 대해,Acerca de la preparación,حول الإعداد,Tentang persiapan,
SetupDescription,,事前に Gemini CLI をインストールし、PowerShell またはコマンド プロンプトで Gemini CLI の初回セットアップを完了してください。,Install Gemini CLI in advance and complete its initial setup in PowerShell or Command Prompt.,请预先安装 Gemini CLI，并在 PowerShell 或命令提示符中完成 Gemini CLI 的首次设置。,請預先安裝 Gemini CLI，並在 PowerShell 或命令提示字元中完成 Gemini CLI 的首次設定。,사전에 Gemini CLI를 설치하고 PowerShell 또는 명령 프롬프트에서 Gemini CLI의 초기 설정을 완료해 주세요.,Instala Gemini CLI con antelación y completa su configuración inicial en PowerShell o Command Prompt.,قم بتثبيت Gemini CLI مسبقًا وأكمل الإعداد الأولي له في PowerShell أو موجه الأوامر.,Instal Gemini CLI terlebih dahulu dan selesaikan penyiapan awal Gemini CLI di PowerShell atau Command Prompt.,
ApiKey,,APIキー（任意）,API Key (optional),API密钥（可选）,API 金鑰（選填）,API 키(선택),Clave API (opcional),مفتاح API (اختياري),Kunci API (opsional),
Model,,モデル名（任意）,Model name (optional),模型名称（可选）,模型名稱（選填）,모델명(선택),Nombre del modelo (opcional),اسم النموذج (اختياري),Nama model (opsional),
TimeoutSeconds,,タイムアウト（秒）,Timeout (seconds),超时（秒）,逾時（秒）,시간 초과(초),Tiempo de espera (segundos),المهلة (بالثواني),Batas waktu (detik),
SendCurrentFrame,,現在のフレームを送信する,Send current frame,发送当前帧,傳送目前影格,현재 프레임 전송,Enviar fotograma actual,إرسال الإطار الحالي,Kirim frame saat ini,
GeminiCLIProcessStartFailedMessage,,Gemini CLIの起動に失敗しました。,Failed to start Gemini CLI.,启动 Gemini CLI 失败。,啟動 Gemini CLI 失敗。,Gemini CLI를 시작하지 못했습니다.,No se pudo iniciar Gemini CLI.,فشل تشغيل Gemini CLI.,Gagal memulai Gemini CLI.,
GeminiCLITimeoutMessage,0: seconds,Gemini CLIが{0}秒以内に応答しませんでした。,Gemini CLI did not respond within {0} seconds.,Gemini CLI 未在 {0} 秒内响应。,Gemini CLI 未在 {0} 秒內回應。,Gemini CLI가 {0}초 안에 응답하지 않았습니다.,Gemini CLI no respondió dentro de {0} segundos.,لم يستجب Gemini CLI خلال {0} ثانية.,Gemini CLI tidak merespons dalam {0} detik.,
GeminiCLIProcessFailedMessage,0: exit code 1: details,Gemini CLIがエラーで終了しました。(終了コード: {0}) {1},Gemini CLI exited with an error. (Exit code: {0}) {1},Gemini CLI 错误退出。（退出代码: {0}）{1},Gemini CLI 錯誤結束。（結束代碼: {0}）{1},Gemini CLI가 오류와 함께 종료되었습니다. (종료 코드: {0}) {1},Gemini CLI finalizó con un error. (Código de salida: {0}) {1},انتهى Gemini CLI بخطأ. (رمز الخروج: {0}) {1},Gemini CLI berhenti dengan kesalahan. (Kode keluar: {0}) {1},
GeminiCLIEmptyResponseMessage,,Gemini CLIから応答を取得できませんでした。,No response was received from Gemini CLI.,未能从 Gemini CLI 获取响应。,無法從 Gemini CLI 取得回應。,Gemini CLI로부터 응답을 받지 못했습니다.,No se recibió respuesta de Gemini CLI.,لم يتم تلقي استجابة من Gemini CLI.,Tidak ada respons yang diterima dari Gemini CLI.,
NoDetails,,詳細はありません。,No details.,没有详细信息。,沒有詳細資訊。,자세한 내용이 없습니다.,No hay detalles.,لا توجد تفاصيل.,Tidak ada detail.,
