Key,Comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
Node,ノード,ノード,Node,节点,節點,노드,Nodo,العقد,Node
NodeEditor,ノードエディタ,ノードエディタ,Node Editor,节点编辑器,節點編輯器,노드 편집기,Editor de nodos,محرر العقد,Editor Node
OutputImageIsNull,出力画像が null の場合のエラーメッセージ,出力画像が null です,Output image is null.,输出图像为空,輸出影像為空,출력 이미지가 null입니다,La imagen de salida es nula,صورة الإخراج فارغة,Gambar keluaran bernilai null.
ItemPropertiesNotSet,アイテムプロパティが設定されていないエラーメッセージ,アイテムプロパティが設定されていません,Item Properties is not set.,未设置项目属性。,未設定項目屬性。,아이템 속성이 설정되지 않았습니다.,Las propiedades del elemento no están establecidas.,خصائص العنصر غير محددة.,Properti item belum diatur.
UnableLoadEffect,エフェクト読み込み失敗のエラーメッセージ,エフェクトを読み込めません,Unable load effect,无法加载效果,無法加載效果,효과를 로드할 수 없습니다,No se puede cargar el efecto,غير قادر على تحميل التأثير,Tidak dapat memuat efek
UnableGenerateEffect,エフェクト生成失敗のエラーメッセージ,エフェクトを生成できません,Unable generate effect,无法生成效果,無法生成效果,효과를 생성할 수 없습니다,No se puede generar el efecto,غير قادر على إنشاء التأثير,Tidak dapat menghasilkan efek
PropertyNotFound,指定プロパティが存在しないエラー,指定されたプロパティ {0} が見つかりません,The specified property {0} was not found.,未找到指定属性 {0},未找到指定屬性 {0},지정된 속성 {0}을(를) 찾을 수 없습니다,No se encontró la propiedad {0},لم يتم العثور على الخاصية {0} المحددة,Properti {0} yang ditentukan tidak ditemukan.
PropertyReadOnly,読み取り専用プロパティエラー,プロパティ {0} は読み取り専用です,The property {0} is read-only.,属性 {0} 是只读的,屬性 {0} 是只讀,속성 {0}은(는) 읽기 전용입니다,La propiedad {0} es de solo lectura,الخاصية {0} للقراءة فقط,Properti {0} bersifat hanya-baca.
UnableCreateAnimationInstance,アニメーション型インスタンス生成失敗,アニメーション型のインスタンスを作成できません,Unable to create an instance of Animation type.,无法创建动画类型的实例,無法建立動畫類型的實例,애니메이션 타입의 인스턴스를 생성할 수 없습니다,No se puede crear una instancia del tipo de animación,تعذر إنشاء نسخة من نوع Animation,Tidak dapat membuat instance dari tipe Animation.
AnimationValuesPropertyError,アニメーションの Values プロパティ関連エラー,Animation オブジェクトの Values プロパティが見つからないか読み取り専用です,The Values property of the Animation object was not found or is read-only.,未找到动画对象的 Values 属性或为只读,找不到 Animation 对象的 Values 屬性或為只讀,Animation 객체의 Values 속성을 찾을 수 없거나 읽기 전용입니다,La propiedad Values del objeto Animation no se encontró o es de solo lectura,خاصية Values لكائن Animation غير موجودة أو للقراءة فقط,Properti Values pada objek Animation tidak ditemukan atau bersifat hanya-baca.
